76	No. Public and documentation copy must say the company uses, refines, advances, or applies AI. Claims that SAVEN creates AI are prohibited.	Нет. Публичные и документационные тексты должны говорить, что компания использует, уточняет, развивает или применяет ИИ. Утверждения, что SAVEN создаёт ИИ, запрещены.
77	Owner-approved defaults currently include YouTube, X, Instagram, and Facebook in the footer when configured. LinkedIn remains hidden until an official URL is supplied. Unset networks stay hidden.	Одобренные владельцем значения по умолчанию сейчас включают YouTube, X, Instagram и Facebook в футере при наличии. LinkedIn скрыт, пока не будет официального URL. Незаданные сети остаются скрытыми.
78	Primary human applications must appear before future commercial and industrial extensions. These include hospitals, home, independent living, rehabilitation, everyday environments, outdoor assistance, emergency and remote assistance, and support across all ages.	Первичные человеческие применения должны появляться раньше будущих коммерческих и промышленных расширений. К ним относятся больницы, дом, независимая жизнь, реабилитация, повседневная среда, помощь на улице, экстренная и удалённая помощь, а также поддержка во всех возрастах.
79	Privacy and Security are first-class technology and trust topics. They describe architecture and responsibilities for protecting information and systems — not operational security disclosures or guarantees of perfection.	Privacy и Security — первоклассные темы технологий и доверия. Они описывают архитектуру и ответственность за защиту информации и систем — не операционные раскрытия безопасности и не гарантии совершенства.
80	Public channels that are actually authorized.	Публичные каналы, которые действительно авторизованы.
81	Public content may appear on the website. Restricted fields are structurally separate and must never serialize into public page payloads.	Публичный контент может появляться на сайте. Restricted-поля структурно отделены и никогда не должны попадать в публичные payload страниц.
82	Public content primarily uses Research, Architecture, and In Development status language.	Публичный контент в основном использует статусы Research, Architecture и In Development.
83	Published application destinations include Healthcare, Home, Hospitals, Emergency, Industrial, Government, Agriculture, and Research Applications — presented with honest In Development / Architecture framing where claims appear.	Опубликованные разделы применений включают Healthcare, Home, Hospitals, Emergency, Industrial, Government, Agriculture и Research Applications — с честной рамкой In Development / Architecture там, где есть утверждения.
84	Published narrative connects human context from the Human Data Model into SAVEN roles, events, and actions for executive devices — such as robots, manipulators, and sensors — then collects what happens and processes it again. When needed, understanding rises to BioMath Core.	Опубликованный нарратив связывает человеческий контекст из Human Data Model с ролями, событиями и действиями SAVEN для исполнительных устройств — роботов, манипуляторов и сенсоров — затем собирает происходящее и обрабатывает снова. При необходимости понимание поднимается к BioMath Core.
85	Published technology areas that support human understanding and careful physical systems.	Опубликованные технологические области, которые поддерживают понимание человека и аккуратные физические системы.
86	Published technology destinations include Human Data, Human Data Model, Data Infrastructure, Interoperability, Privacy, Security, Artificial Intelligence, Automation, and Robotics.	Опубликованные технологические разделы включают Human Data, Human Data Model, Data Infrastructure, Interoperability, Privacy, Security, Artificial Intelligence, Automation и Robotics.
87	Purpose	Миссия
88	Purpose and positioning: intelligent systems built to support human life.	Цель и позиционирование: интеллектуальные системы, созданные для поддержки человеческой жизни.
89	Report a Security Issue	Сообщить о проблеме безопасности
90	Research	Исследования
91	Research — exploratory or foundational investigation. Architecture — system design and structural definition. In Development — active engineering and implementation work. Prototype — early demonstration under controlled conditions. Validation — structured evaluation against defined criteria. Pilot — limited real-world trial under controlled scope. Operational — approved for defined operational use (not claimed unless true).	Research — исследовательская или базовая работа. Architecture — проектирование системы и структурное определение. In Development — активная инженерная реализация. Prototype — ранняя демонстрация в контролируемых условиях. Validation — структурированная оценка по критериям. Pilot — ограниченное реальное испытание. Operational — одобрено для определённого операционного использования (не заявляется, если это неверно).
92	Research Areas	Направления исследований
93	Research Disclaimer	Исследовательский отказ от ответственности
94	Research Notes	Исследовательские заметки
95	Research Overview, Research Areas, and Research Notes. They provide orientation and architecture-linked research framing without inventing publications, citations, or results.	Research Overview, Research Areas и Research Notes. Они дают ориентацию и исследовательскую рамку, связанную с архитектурой, без выдуманных публикаций, цитат или результатов.
96	Research, Architecture, In Development, Prototype, Validation, Pilot, and Operational.	Research, Architecture, In Development, Prototype, Validation, Pilot и Operational.
97	Responsible AI (legal draft)	Ответственный ИИ (юридический черновик)
98	Responsible AI and Ethics pages describe careful use, limits, and governance commitments. SAVEN Core uses and advances AI; it does not claim to create AI. Legal Responsible AI content remains draft-framed until counsel approval.	Страницы Responsible AI и Ethics описывают аккуратное использование, пределы и обязательства управления. SAVEN Core использует и развивает ИИ; не заявляет, что создаёт ИИ. Юридический контент Responsible AI остаётся в рамке черновика до одобрения юристами.
99	Roadmap	Дорожная карта
100	Roadmap presents Direction — a careful horizon for research and architecture. It is not a guarantee of delivery dates, funding outcomes, or commercial launch.	Roadmap представляет Direction — осторожный горизонт исследований и архитектуры. Это не гарантия сроков поставки, результатов финансирования или коммерческого запуска.
101	Robotics	Роботика
102	Robotics Lab	Robotics Lab
103	Robotics Layer	Слой робототехники
104	Robotics Layer and Drone Systems describe physical-system architecture directions under development. They are not presented as commercially available fleets or Operational products.	Robotics Layer и Drone Systems описывают направления архитектуры физических систем в разработке. Они не представлены как коммерчески доступные флоты или Operational-продукты.
105	Routes are locale-prefixed, for example /en/faq/. The root / redirects to /en/. Localized path slugs for page names remain an open owner decision; English path segments are used today.	Маршруты имеют префикс локали, например /en/faq/. Корень / перенаправляет на /en/. Локализованные slug путей остаются открытым решением владельца; сегодня используются английские сегменты.
106	Safety Layer	Слой безопасности
107	Safety, privacy, human oversight, transparency, ethics, and honest limits.	Безопасность, конфиденциальность, человеческий надзор, прозрачность, этика и честные пределы.
108	SAVEN Core develops intelligent systems designed to support people in hospitals, at home, outdoors, and in everyday environments — across every age and stage of life.	SAVEN Core разрабатывает интеллектуальные системы, предназначенные поддерживать людей в больницах, дома, на улице и в повседневной среде — в любом возрасте и на любом этапе жизни.
109	SAVEN Core develops intelligent systems that help people in hospitals, at home and wherever life happens — across every age and stage of life.	SAVEN Core разрабатывает интеллектуальные системы, которые помогают людям в больницах, дома и везде, где происходит жизнь — в любом возрасте и на любом этапе жизни.
110	SAVEN Core is the integrated company and technology structure combining the human intelligence foundation with physical systems.	SAVEN Core — интегрированная компания и технологическая структура, объединяющая основу человеческого интеллекта с физическими системами.
111	SAVEN Core uses and advances AI alongside robotics, autonomous systems, and engineering technologies meant to operate in real environments.	SAVEN Core использует и развивает ИИ вместе с робототехникой, автономными системами и инженерными технологиями, предназначенными для работы в реальной среде.
112	SAVEN Core uses and advances AI alongside robotics, autonomous systems, and engineering technologies. It does not claim to create AI.	SAVEN Core использует и развивает ИИ вместе с робототехникой, автономными системами и инженерными технологиями. Компания не заявляет, что создаёт ИИ.
113	SAVEN is the physical extension of the intelligence foundation. It connects human understanding and AI with robotics, autonomous systems, interfaces, sensors, and physical assistance.	SAVEN — физическое продолжение интеллектуальной основы. Он соединяет понимание человека и ИИ с робототехникой, автономными системами, интерфейсами, сенсорами и физической помощью.
114	SAVEN Robotics Interface focuses on device communication, shared tasks, and human command. Robotics Layer describes broader robotics architecture. Both are published Systems destinations and remain in development framing.	SAVEN Robotics Interface сосредоточен на связи устройств, совместных задачах и человеческом командовании. Robotics Layer описывает более широкую архитектуру робототехники. Оба — опубликованные разделы Systems в рамке разработки.
115	SAVEN Robotics Interface is a flagship systems destination describing how devices communicate, coordinate shared tasks, and keep people in command as capability grows.	SAVEN Robotics Interface — флагманский системный раздел о том, как устройства общаются, координируют совместные задачи и оставляют людей в командовании по мере роста возможностей.
116	SAVEN Robotics Lab	SAVEN Robotics Lab
117	SAVEN Robotics Lab and Internal Future Lab — research and development spaces.	SAVEN Robotics Lab и Internal Future Lab — пространства исследований и разработки.
118	SAVEN Robotics Lab and Internal Future Lab. Both are public destinations under Labs and use honest development status language.	SAVEN Robotics Lab и Internal Future Lab. Обе — публичные разделы Labs с честным языком статуса разработки.
119	Shared tasks means coordinated work between devices and systems under defined roles and communication — not unsupervised autonomy or a claim of finished multi-robot operations.	Совместные задачи означают координированную работу устройств и систем при определённых ролях и связи — не бесконтрольную автономию и не заявление о готовых мультироботных операциях.
120	Sign In / Sign Up	Вход / Регистрация
121	Sign In / Sign Up with email/password and Google is authorized as an account surface. It is not a full investor portal and must not be presented as one.	Sign In / Sign Up с email/паролем и Google авторизован как поверхность аккаунта. Это не полноценный investor portal и не должен так представляться.
122	Structured human context with permissions, minimization, and accountable use — the controlled interface between people-related information and systems.	Структурированный человеческий контекст с разрешениями, минимизацией и подотчётным использованием — контролируемый интерфейс между информацией о людях и системами.
123	Systems	Системы
124	Systems describe how technology areas connect into architecture — including Knowledge Engine, AI Decision Support, Safety Layer, Communication Layer, Clinical Interfaces, Robotics Layer, Drone Systems, and SAVEN Robotics Interface.	Systems описывают, как технологические области соединяются в архитектуру — включая Knowledge Engine, AI Decision Support, Safety Layer, Communication Layer, Clinical Interfaces, Robotics Layer, Drone Systems и SAVEN Robotics Interface.
125	Systems pages document architecture. The footer Architecture column maps the published Systems depth.	Страницы Systems документируют архитектуру. Колонка Architecture в футере показывает опубликованную глубину Systems.
126	Technology	Технологии
127	Technology Privacy	Технологическая конфиденциальность
128	Technology Security	Технологическая безопасность
129	Ten locales, English canonical, RTL prepared from the start.	Десять локалей, английский канонический, RTL подготовлен с самого начала.
130	The admin platform is a restricted internal surface under active development. It is not a public product claim and is not listed in the public sitemap.	Админ-платформа — ограниченная внутренняя поверхность в активной разработке. Это не публичное продуктовое заявление и не входит в публичный sitemap.
131	The Communication Layer covers governed exchange of signals and messages between systems and interfaces under controlled conditions — architecture language, not a live network product claim.	Communication Layer охватывает управляемый обмен сигналами и сообщениями между системами и интерфейсами в контролируемых условиях — язык архитектуры, а не заявление о готовом сетевом продукте.
132	The company combines human-centered intelligence, BioMath Core, artificial intelligence, robotics, autonomous systems, human-machine interaction, physical assistance technologies, and privacy and safety architecture.	Компания объединяет человекоцентричный интеллект, BioMath Core, искусственный интеллект, робототехнику, автономные системы, взаимодействие человека и машины, технологии физической помощи, а также архитектуру конфиденциальности и безопасности.
133	The foundation sequence explains origin and direction. Understanding people comes before physical assistance. Technology depth should always reconnect to human support.	Последовательность основания объясняет происхождение и направление. Понимание людей предшествует физической помощи. Технологическая глубина всегда должна возвращаться к поддержке человека.
134	The human data and intelligence foundation. It organizes personal context, longitudinal information, signals, patterns, permissions, privacy, and safe personalization.	Основа человеческих данных и интеллекта. Она организует личный контекст, продольную информацию, сигналы, паттерны, разрешения, конфиденциальность и безопасную персонализацию.
135	The Knowledge Engine organizes engineering knowledge, models, and governed references used across systems. It connects research, technology, and system definitions without inventing publications or results.	Knowledge Engine организует инженерные знания, модели и управляемые ссылки, используемые в системах. Он связывает исследования, технологии и определения систем без выдуманных публикаций или результатов.
136	The original human-centered vision focused on understanding the individual through biological, medical, behavioral, environmental, and life data.	Изначальное человекоцентричное видение, сосредоточенное на понимании человека через биологические, медицинские, поведенческие, средовые и жизненные данные.
137	The public hero line is Intelligence for the Physical World. The brand tagline is Turning Intelligence Into Human Care.	Публичная герой-строка: Intelligence for the Physical World. Слоган бренда: Turning Intelligence Into Human Care.
138	The Safety Layer describes limits, careful oversight, and safety architecture concepts for systems that may act in the physical world. It is not a claim of certified operational safety for a shipped product.	Safety Layer описывает пределы, аккуратный надзор и концепции архитектуры безопасности для систем, которые могут действовать в физическом мире. Это не заявление о сертифицированной операционной безопасности готового продукта.
139	The site should be understandable to the general public, families, healthcare professionals, engineers, researchers, potential employees, partners, investors, and government or institutional visitors.	Сайт должен быть понятен широкой публике, семьям, специалистам здравоохранения, инженерам, исследователям, потенциальным сотрудникам, партнёрам, инвесторам и государственным или институциональным посетителям.
140	These must appear as a continuous development path, not as unrelated brands or side projects.	Они должны выглядеть как непрерывный путь развития, а не как несвязанные бренды или побочные проекты.
141	This describes architecture and direction, not a shipped multi-device product suite.	Это описывает архитектуру и направление, а не поставленный набор продуктов для множества устройств.
142	Transparency	Прозрачность
143	Transparency is a governance commitment to understandable, bounded public explanation. It does not mean publishing restricted detail. Status and scope must remain visible.	Transparency — обязательство управления давать понятное, ограниченное публичное объяснение. Это не означает публикацию ограниченной детализации. Статус и объём должны оставаться видимыми.
144	Trust	Доверие
145	Trust includes Privacy, Security, Safety, Human Oversight, Transparency, Ethics and Responsible Use, and Limitations — plus related legal draft destinations.	Trust включает Privacy, Security, Safety, Human Oversight, Transparency, Ethics and Responsible Use и Limitations — плюс связанные юридические черновики.
146	Trust Privacy	Конфиденциальность (доверие)
147	Trust Security	Безопасность (доверие)
148	Use Investor Contact or the general Contact channel at info@savencore.com. Responses are careful and not a promise of deal process timelines.	Используйте Investor Contact или общий канал Contact на info@savencore.com. Ответы осторожны и не обещают сроков сделки.
149	Use the Report a Security Issue resource. The public contact pattern uses info@savencore.com. Do not send urgent medical or emergency information through general website channels.	Используйте ресурс Report a Security Issue. Публичный контактный канал — info@savencore.com. Не отправляйте срочную медицинскую или экстренную информацию через общие каналы сайта.
150	Yes. A Research Disclaimer legal draft exists and remains draft-framed until counsel approval.	Да. Существует юридический черновик Research Disclaimer и остаётся в рамке черновика до одобрения юристами.
151	Yes. Arabic and Hebrew are RTL locales. Architecture prepares for ten languages and RTL from the beginning.	Да. Арабский и иврит — RTL-локали. Архитектура с самого начала готовится к десяти языкам и RTL.
152	Yes. Public Interface language emphasizes that people remain in command as capability grows. Human oversight is a trust foundation across the site.	Да. Публичный язык Interface подчёркивает: люди остаются в командовании по мере роста возможностей. Человеческий надзор — основа доверия на всём сайте.
